title,description,full_text,url,published_at,source,summary,topics,sentiment,key_entities,ingested_at
IIM Shillong awards degrees to 469 students at 17th Convocation,"Indian Institute of Management Shillong held its 17th Annual Convocation on April 2, 2026, with 469 students receiving degrees across various programmes. The graduating cohort included 395 students from the Post Graduate Programme (PGP) 2024–26 batch, 54 from…","IIM Shillong awards degrees to 469 students at 17th Convocation

Indian Institute of Management Shillong held its 17th Annual Convocation on April 2, 2026, with 469 students receiving degrees across various programmes.

The graduating cohort included 395 students from the Post Graduate Programme (PGP) 2024–26 batch, 54 from the Post Graduate Programme for Executives (PGPEx) 2025–26 batch, and 15 from the Post Graduate Programme for Working Executives (PGPWE) 2024–26 batch. Five scholars were also awarded PhD degrees.

Anoop Mehta president, Bharat Diamond Bourse attended as chief guest, while Vijay Kedia Managing Director, Kedia Securities was the guest of honour.

Chairman of the Board of Governors Shishir Kumar Bajoria, in a virtual address, described the graduates as contributors to a “Viksit Bharat”, highlighting national initiatives such as Atmanirbhar Bharat, Digital India and Skill India. He urged students to stay adaptable, embrace new ideas and remain committed to societal contributions.

In his address, Mehta spoke about the rapidly changing global landscape shaped by artificial intelligence and evolving industries. Drawing from his own experience, he stressed perseverance, continuous learning and long-term thinking, encouraging graduates to remain resilient and open to growth.

Kedia noted the institute’s rise as a leading management school in under two decades, adding that future success will depend on adaptability and applied knowledge rather than degrees alone. He pointed to emerging opportunities in sectors such as technology, energy and digital platforms, urging graduates to actively engage with India’s growth trajectory.

Director (in-charge) Naliniprava Tripathy presented the annual report, outlining key developments during 2025–26. These included seven new international collaborations, taking the total number of global partnerships to 37, progress towards AACSB and EQUIS accreditations, and the institute’s entry into the QS Global Rankings. She also highlighted the launch of a five-year Integrated Programme in Management aligned with NEP 2020, along with continued research output and international academic engagements.

She announced that the institute will host the 11th Pan-IIM World Management Conference in 2026 and called on graduates to uphold the institution’s values.

The convocation concluded with a formal pledge administered by Dean (Academics) Rohit Joshi, reaffirming the graduates’ commitment to ethical practice and professional excellence.

Medal winners

In the PGP 2024–26 batch, Priya Agarwal secured both the Chairman’s Gold Medal and the Rathindranath Datta Gold Medal for the highest CGPA. Divyan Aggarwal received the Director’s Gold Medal and the Prof. Ashoke K Dutta Gold Medal for best all-round performance. Nityaa Gudur, Ranit Das and Yashraj Ashish Kanitkar were awarded the Institute Silver Medal for second highest CGPA, while Ajay MP received the Institute Gold Medal for positive contribution to campus life.
",https://www.syllad.com/iim-shillong-awards-degrees-to-469-students-at-17th-convocation/,2026-04-05T14:37:29Z,Syllad.com,"IIM Shillong held its 17th Annual Convocation, awarding degrees to 469 students across various programmes.","IIM, education, India",neutral,"Anoop Mehta, Vijay Kedia, Naliniprava Tripathy",2026-04-06 14:58:16.047104
"Screenwriters union, Hollywood studios reach four-year tentative agreement",It must be approved by the guild’s board and members before it is ratified.,"It must be approved by the guild’s board and members before it is ratified.

FILE - A picketer carries a sign on the picket line outside Netflix on Wednesday, Sept. 27, 2023, in Los Angeles. (AP Photo/Chris Pizzello, File)

FILE - A picketer carries a sign on the picket line outside Netflix on Wednesday, Sept. 27, 2023, in Los Angeles. (AP Photo/Chris Pizzello, File)

FILE - A picketer carries a sign on the picket line outside Netflix on Wednesday, Sept. 27, 2023, in Los Angeles. (AP Photo/Chris Pizzello, File)

FILE - A picketer carries a sign on the picket line outside Netflix on Wednesday, Sept. 27, 2023, in Los Angeles. (AP Photo/Chris Pizzello, File)

LOS ANGELES -- The screenwriters union and Hollywood studios reached a surprise four-year tentative agreement after roughly three weeks of negotiation.

The Writers Guild of America West said on X that its negotiating committee unanimously approved a tentative agreement with The Alliance of Motion Picture and Television Producers, which represents studios. The alliance confirmed the deal in a separate statement on its website Saturday.

“We look forward to building on this progress as we continue working toward agreements that support long-term industry stability,” read the alliance statement.

The precise terms of the deals were not immediately announced, but it is expected to include several writers’ priorities such as better health care plans and more protections against artificial intelligence. The union said on X that the deal protects the writers’ health plan builds on gains from 2023 and “helps address free work challenges.”

The contract agreement, a year longer than a typical three-year deal, must be approved by the guild’s board and members before it is ratified.

The surprise agreement came within weeks of negotiation — a stark contrast to the contentious contract negotiation three years ago when Hollywood writers went on a historic strike that partially brought the industry to a standstill.

The screenwriters voted almost unanimously to approve that agreement, which provided them with more compensation, length of employment and control of artificial intelligence. The current contract was set to expire in May.

The studios were also working on new deals with union leaders representing actors and directors, whose contracts are set to expire at the end of June. Sean Astin, president of the SAG-AFTRA, said in a February interview with The Associated Press that he has seen signs that the studios want “to work as partners again.” Hollywood actors also walked out of their jobs for months in 2023 demanding for a better contract.

The writers' tentative deal with studios came as the Writers Guild of America West faces an ongoing strike by its own staff union that started in February. More than 100 people working in legal, events and residuals departments went on strike over allegations of unfair labor practice, according to the Los Angeles Times.

It is not clear how, or whether, the weekslo",https://abcnews.com/Business/wireStory/screenwriters-union-hollywood-studios-reach-year-tentative-agreement-131741257,2026-04-05T14:22:03Z,Abcnews.com,The screenwriters union and Hollywood studios reached a four-year tentative agreement after three weeks of negotiation.,"Hollywood, union, negotiation",neutral,"Writers Guild of America West, The Alliance of Motion Picture and Television Producers",2026-04-06 14:58:16.047104
"Eulogy for the CIA Factbook: The free standard for world facts, long an educational staple, is gone","The Trump administration has shut down the CIA World Factbook, and there's much lamenting about the demise of a free source that many people used to check basic facts about countries","The Trump administration has shut down the CIA World Factbook, and there's much lamenting about the demise of a free source that many people used to check basic facts about countries

Eulogy for the CIA Factbook: The free standard for world facts, long an educational staple, is gone

If you attended school any time after the Nixon administration, then you likely beheld at some point the CIA World Factbook, a map and reference manual of Planet Earth and its inhabitants upon which nearly everyone could agree.

Maybe you read parts of it from a floppy disk or a CD-ROM for that social studies project due tomorrow. Or scanned its list of countries for Latvia, because that is the country you are representing next week in Model U.N. Even better, you wandered the earth in your imagination as you held the physical Factbook in your own hands, unfolding its maps and understanding, perhaps for the first time, that the thumbs-up gesture your friends flash each other is considered an obscene insult in parts of the Middle East, Europe and Argentina.

Who knew? The Factbook and its readers did, for more than six decades.

Its authors — some of the world's best intelligence-gatherers, who contributed thousands of their own photos — kept the curated database updated and online for public use at no charge. The reasons stated were geopolitical and philosophical. But since we are talking about facts, it also is true that the Factbook went public in 1975 with lofty statements of purpose at a time when Congress was revealing abuses by U.S. intelligence agencies, including the CIA.

“We share these facts with the people of all nations in the belief that knowledge of the truth underpins the functioning of free societies,” the CIA itself explained in its pages.

The spy agency is not sharing them anymore.

On Feb. 4, the Trump administration abruptly shuttered this widely accepted account of humanity and its flags, nations, customs, militaries and borders. The CIA framed the move as one of progress for an agency whose core mission has changed.

A great wave of grief rose from Factbook fans. Many said they mourned an America that valued knowledge for its own sake. Some saw darker forces at work under a president whose administration has promoted — in times of war and peace — “alternative facts.”

“Stay curious,” the CIA advised in its “fond farewell"" to the Factbook.

And, it might have added: Good luck figuring out what's true from the wild and frequentlyinaccurate world of the internet and artificial intelligence.

Decades before Google became an everyday verb, there was the Factbook.

Its origin story is rooted in the Japanese surprise attack on Pearl Harbor in 1941, a U.S. intelligence failure that inspired a more coordinated approach to gathering and organizing information on America's enemies. The Joint Army Navy Intelligence Studies was born, the country's first interdepartmental basic intelligence program. But by 1946, national security experts agreed that “the con",https://abcnews.com/US/wireStory/eulogy-cia-factbook-free-standard-world-facts-long-131741253,2026-04-05T14:16:01Z,Abcnews.com,"The Trump administration has shut down the CIA World Factbook, a free source of basic facts about countries.","CIA, Trump administration, education",negative,"Donald Trump, CIA, Trump administration",2026-04-06 14:58:16.047104
Cards that ruled Neymar out of Santos v Fla weren't for fouls,"Neymar is Santos’ biggest absence for today’s match against Flamengo, valid for the 10th round of the Brazilian Championship.The star is serving an automatic suspension after receiving his third y...","""If you look at the play, he gets a little jab from behind by one, then another from someone else. He went at him, a Remo player came over and leaned into him, in the heat of the moment, I think the referee could have shown some leniency. But the ref decided to act differently and gave the card. He’s a player who was caught up in the heat of the moment, he’s hot-blooded, but in my view he could have avoided that card,"" Cuca argued.",https://onefootball.com/en/news/cards-that-ruled-neymar-out-of-santos-v-fla-werent-for-fouls-42665171,2026-04-05T14:16:00Z,Onefootball.com,"Neymar was given a card for a foul in a match, but his coach Cuca believes the referee could have shown leniency.","Soccer, Referee, Neymar",negative,"Neymar, Cuca",2026-04-06 14:58:16.047104
NVIDIA Stock in 2026: Analysts Urge Buy as AI Demand Powers Growth Despite Valuation Concerns,"SANTA CLARA, Calif. — NVIDIA Corp. shares, trading around $177 as of early April 2026, continue to draw strong buy recommendations from Wall Street analysts amid explosive demand for artificial intelligence infrastructure, even as some investors question loft…",,https://www.ibtimes.com.au/nvidia-stock-2026-analysts-urge-buy-ai-demand-powers-growth-despite-valuation-concerns-1865473,2026-04-05T14:09:56Z,Ibtimes.com.au,"NVIDIA Corp. shares receive strong buy recommendations from analysts due to AI demand, despite valuation concerns.","NVIDIA, AI, stock market",positive,"NVIDIA Corp., Wall Street analysts",2026-04-06 14:58:16.047104
"Lego aces, brick by brick, in the age of Nvidia",Explore insights from the 2026 Brand Finance report on the resilience and evolution of iconic brands like Lego and Walmart.,"Each year, I look forward to the report on the world’s most valuable and strongest brands, published by Brand Finance, a respected brand valuation consultancy firm. Here are some of the top conclusions of the 2026 report:

Apple, Tata and NVIDIA

Apple remains the world’s most valuable brand, while Tata retains its top spot in India. Both these iconic brands have strengthened their valuations this year, through a consistent focus on their core purpose and by enhancing the trust and love they have earned among millions of customers.

Nvidia’s brand value has more than doubled since last year, and it is now the fifth most valued globally. This is an amazing rise in a single year, making it more valuable than Facebook and Walmart. Clearly, Nvidia’s rise signals the age of artificial intelligence, which is now upon us.

Of the top eight — Apple, Microsoft, Google, Amazon, Nvidia, Tik Tok, Walmart and Samsung — seven are native technology brands, with Walmart being the sole exception.

The report also lists the world’s “strongest” brands, which is quite different from the “most valuable” brands. These brands enjoy the strongest brand perception, which leads to the best outcome on customer behaviour. The five strongest brands are YouTube, WeChat, Microsoft, Google and Lego.

While many of these headlines are not surprising, I would like to dwell on some of the traditional brands — such as Lego, Walmart, Deloitte and Michelin — that truly surprised me with their resilience and strength in a world dominated by the rise and rise of AI.

Playing with LEGO

Lego is more than 90 years old, yet this toy maker holds its own as the fifth strongest brand in the world. It draws high admiration and enjoys a huge reputation. How does a toy brand manage this? First, it appeals both to children and adults, through toy sets of different complexities. As the Brand Finance report points out, familiarity of toy brands generally falls among older groups. Defying this trend, Lego has a familiarity of 86 per cent even among 55- to 64-year-olds. To bolster this inter-generational appeal, Lego has developed strategic partnerships with popular brands such as Ferrari and Harry Potter. It has also built deep emotional links with its customers, based on the timeless human desires of creativity, imagination and joy. Here is a case-study in marvellous brand reinvention, particularly given that Lego was virtually bankrupt just about 20 years ago.

Shopping at Walmart

Walmart is not as old as Lego, but still grey-haired at 64. Until around 15 years ago, it was slotted in our minds as a “traditional retailer” in a world overtaken by e-commerce. However, Walmart has evolved to become even more robust during the past few years. It began life with a hugely appealing consumer value proposition of “everyday low prices”, backed by a strong supply chain and economies of scale. In the past decade, it also added “convenience” through its successful e-commerce business, powered by a treasure t",https://www.thehindubusinessline.com/catalyst/lego-aces-brick-by-brick-in-the-age-of-nvidia/article70826676.ece,2026-04-05T14:01:11Z,BusinessLine,"The 2026 Brand Finance report highlights Apple as the world's most valuable brand, with Nvidia experiencing a significant rise in brand value.","AI, brand valuation, Nvidia",neutral,"Apple, Nvidia, Lego",2026-04-06 14:58:16.047104
I found 7 Windows apps that use your PC's NPU to improve efficiency and performance with AI — You might be surprised at what's on the list,"If you bought a new laptop in the last year, there's a good chance that it comes with an NPU. Besides Copilot+ tools in Windows 11, there are many apps that only get better thanks to the specialized AI hardware. Which ones are you using?","Microsoft made a big deal about the Neural Processing Unit (NPU) when it first unveiled Copilot+ PCs in 2024. The specialized piece of hardware is key to running AI tasks locally with more efficiency, and it has now spread from Qualcomm Snapdragon X chips to the latest Intel and AMD processors.

Although the rise of the NPU has largely been associated with Copilot+ AI tools in Windows 11, including Cocreator, Live Captions, Windows Studio Effects, and Recall, it's also being put to work by a growing number of third-party apps.

👉 Microsoft celebrates Windows 11 on Arm progress as users now spend the majority of their time in natively compiled apps — compatibility is no longer a concern

If your PC includes an NPU, and there's a good chance that it does in 2026, these apps are some of the best that actually make use of the specialized hardware.

1. Cephable — AI-assisted alternative inputs on PC

Getting Started with Cephable Professional - YouTube Watch On

Cephable is an AI software platform designed to accommodate the replacement of traditional PC input methods. Rather than a mouse and keyboard, Cephable offers adaptive controls via head, eye, or other motions (captured with a camera), as well as voice.

It can be configured to control apps and automate tasks, and it works on Windows, MacOS/iOS, and Android.

Your PC's NPU comes into play due to Cephable's on-device privacy stance. It keeps sensitive video and voice data out of the cloud, with the NPU providing a more efficient way to power the effects.

Cephable was originally designed to enhance accessibility for people with disabilities, but it has since been adopted by a much wider range of users who want to reduce screen time and improve productivity.

Free plans are available if you want to give Cephable a try, and quotes are available for enterprise and education scenarios.

2. Adobe Photoshop — AI-assisted photo editing

AI Photo Editing with Intel® Core™ Ultra Processors & Adobe Photoshop | Intel Business - YouTube Watch On

Most modern photo editors, including Adobe alternatives like Luminar NEO, GIMP, and Affinity Photo, now feature some sort of AI editing abilities, but Photoshop is usually the app that gets the most attention.

With an NPU in your PC, Photoshop tools like subject selection, background removal, denoising, upscaling, and masking happen faster and more efficiently.

Not only does this leave the CPU and GPU open for other tasks, but it also reduces battery draw and heat, both of which are especially important when you're editing photos on a laptop.

You can give Photoshop a try for free, but otherwise it will cost about $23 per month.

3. Norton — AI-assisted deepfake and scam protection

I know that many of our readers find Windows Defender to be all they need to protect their PC, but Norton Antivirus has recently added some great features that rely on an NPU to function.

I'm talking chiefly about AI-powered scam protection that can identify audio and video deepfakes",https://www.windowscentral.com/artificial-intelligence/apps-use-npu-ai-pcs,2026-04-05T14:01:06Z,Windows Central,Microsoft's Neural Processing Unit (NPU) is being used by various Windows apps to improve efficiency and performance with AI.,"AI, Windows, Microsoft",neutral,"Microsoft, Qualcomm, Intel",2026-04-06 14:58:16.047104
"AI is making crypto's security problem even worse, Ledger CTO warns","Ledger’s Charles Guillemet says artificial intelligence is making hacks cheaper and faster, forcing a rethink of how crypto systems stay secure.","Crypto platforms — and investors — have long suffered from hacker attacks and exploits. Now, artificial intelligence (AI) is making that threat even worse.

That’s the view of Charles Guillemet, chief technology officer at crypto wallet provider Ledger, who said the economics of cybersecurity are breaking down as AI tools make it faster and cheaper to attack systems.

""Finding vulnerabilities and exploiting them becomes really, really easy,"" Guillemet told CoinDesk in an interview. ""The cost is going down to zero.""

His remarks come as crypto heists are in the headlines again. Just this week, Solana-based decentralized finance protocol Drift was exploited, with attackers draining $285 million worth of digital assets. It is one of the most severe exploits of the year so far. A week before that, an attack on yield protocol Resolv led to $25 million in losses.

Altogether, over $1.4 billion in assets were stolen or lost in crypto attacks over the course of the past year, according to data by DefiLlama.

From asymmetry to arms race

Security has long relied on an imbalance: it should be harder and more expensive to hack a system than the potential reward.

But AI is eroding that advantage. Tasks that once took skilled researchers months, like reverse engineering software or chaining exploits, can now be done in seconds with the right prompts.

For crypto, where code often controls large pools of funds, that shift raises the stakes.

""You need to be perfect,"" Guillemet warned teams developing blockchain protocols.

The problem is compounded by AI-generated code. As more developers rely on AI tools, vulnerabilities could spread faster.

“There is no 'make it secure' button,” he said. ""We are going to produce a lot of code that will be insecure by design.""

Raising the security bar

For crypto protocols, that means rethinking security from the ground up.

Guillemet pointed to formal verification — using mathematical proofs to validate code — as a stronger approach than traditional audits, which may miss bugs.

Hardware-based security is another layer, he said. Devices like hardware wallets isolate private keys from internet-connected systems, reducing exposure.

""When you have a dedicated device not exposed to the internet, it is more secure by design,"" he said.

That approach is becoming more relevant as malware grows more advanced. Guillemet described attacks that scan compromised phones for wallet seed phrases, allowing hackers to drain funds without user interaction.

For average crypto users, Guillemet's message is blunt: assume systems can and will fail.

""You can’t trust most of the systems that you use,"" Guillemet said.

That could push more users toward cold storage, stronger operational security and keeping sensitive data offline. Even then, risks extend beyond software, including physical attacks targeting crypto holders.

Guillemet expects a divide ahead. Critical systems like wallets and protocols will invest heavily in security and adapt. ",https://www.coindesk.com/tech/2026/04/05/ai-is-making-crypto-s-security-problem-even-worse-ledger-cto-warns,2026-04-05T14:00:00Z,CoinDesk,"AI is exacerbating crypto's security problem, making it easier and cheaper for hackers to exploit systems, according to Ledger's CTO.","AI, crypto, security",negative,"Charles Guillemet, Ledger, Solana",2026-04-06 14:58:16.047104
‘Learn to sit with…’: Data analyst shares 7 simple life lessons that AI cannot teach you,"Data analyst Sakshi Mishra shares seven essential strategies to navigate daily life without over-reliance on artificial intelligence. These methods aim to preserve individual thought and decision-making. Mishra emphasizes embracing discomfort, practicing deep…","Sit with difficult problems



Deep listening



Think like an entrepreneur



Basic life skills



Reading



Relationship investments



Deeper sense of purpose





as a Reliable and Trusted News Source Addas a Reliable and Trusted News Source Add Now!

Artificial intelligence has seeped so deep in almost every field in our daily lives that we fail to recognise its impact. In the professional world, AI makes tasks like data analysis, writing drafts, and coding much easier, while on the personal front, it shapes what we watch, what we purchase, and even how we communicate. But despite the easy accessibility of AI, over-reliance on these tools can slowly chip away at our individuality. But there are ways to overcome them, as pointed out by data analyst Sakshi Mishra in her latest X post.In an elaborate post, Sakshi Mishra listed 7 simple ways to navigate your daily life without AI, so that your thoughts, decisions and actions remain entirely your own, shaped by curiosity, lived experiences, and independent thinking rather than algorithms.Sakshi Mishra stressed the importance of sitting in discomfort as a crucial first step towards learning. In a world where answers are available in seconds, she encourages people to slow down and engage deeply with problems that don’t have immediate solutions. Instead of relying on quick fixes, she recommends writing about ideas you might not fully understand and attempting to solve challenges without a clear formula, as it enables independent thinking.Another key lesson highlighted by the data analyst is the ability to listen genuinely and patiently. She pointed out that listening without any judgment not only strengthens personal relationships but also sharpens thinking. Knowing when to speak, how to articulate ideas clearly, and when to hold back are skills that become increasingly valuable in a fast-paced, AI-driven world where meaningful communication often takes a backseat.You might not be an entrepreneur, but you can always try to think like one with the correct mindset, not necessarily to build companies, but to approach life with a motive. Sakshi Mishta explains that identifying problems, taking ownership, and creating value from scratch helps you to stay relevant and proactive, rather than becoming passive consumers of technology.Beyond intellectual growth, Sakshi Mishra underlines the importance of everyday life skills such as cooking, cleaning, and swimming, as these seemingly simple abilities make you more independent and self-reliant. In her view, confidence built through managing one’s own life is something no academic degree or AI tool can replicate.Sakshi Mishra further urges you to expand your perspective by reading across genres, including psychology, finance, social systems, and inequality. She believes that understanding how different people live and think helps you to develop empathy and think outside the box. This broader perspective is crucial in this interconnected world.In an age dominat",https://economictimes.indiatimes.com/magazines/panache/learn-to-sit-with-data-analyst-shares-7-simple-life-lessons-that-ai-cannot-teach-you/articleshow/130040541.cms,2026-04-05T13:59:30Z,The Times of India,"A data analyst shares 7 simple life lessons that AI cannot teach, focusing on individuality and independent thinking.","AI, self-improvement, productivity",positive,Sakshi Mishra,2026-04-06 14:58:16.047104
‘Cognitive Surrender’ Is a New and Useful Term for How AI Melts Brains,"Once you learn this term, you will unfortunately see it everywhere.",,https://gizmodo.com/cognitive-surrender-is-a-new-and-useful-term-for-how-ai-melts-brains-2000742595,2026-04-05T13:47:51Z,Gizmodo.com,The term 'Cognitive Surrender' is used to describe how AI can overwhelm and impair human cognitive abilities.,"AI, cognitive abilities, technology",negative,,2026-04-06 14:58:16.047104
